segment_id,road_name,zone_type,segment_index,start_lat,start_lng,end_lat,end_lng,mid_lat,mid_lng,length_m,road_class,lane_count,speed_limit_kmh,avg_traffic_volume,pothole_density_per_km,surface_rating,lighting_quality,encroachment_level,drainage_quality,has_footpath,accident_count_12mo,fatal_accident_count_12mo,injury_count_12mo,avg_accident_severity,road_quality_index,accident_history_index,safety_score,safety_band
SEG-0020,Ferozepur Road,arterial_highway,19,31.479432,74.279411,31.474712,74.276345,31.477072,74.277878,600.0,arterial,4,95,4915,5.61,4.14,good,severe,moderate,0,4,2,6,4.23,0.6111,0.5398,59.3,moderate
SEG-0021,Ferozepur Road,arterial_highway,20,31.474712,74.276345,31.469992,74.273279,31.472352,74.274812,600.0,arterial,6,95,4043,5.25,3.32,moderate,none,moderate,0,9,2,4,3.62,0.6416,0.4345,53.7,moderate
SEG-0022,Ferozepur Road,arterial_highway,21,31.469992,74.273279,31.465272,74.270213,31.467632,74.271746,600.0,arterial,5,90,3587,5.36,4.04,moderate,moderate,moderate,0,8,0,3,3.55,0.6095,0.6268,62.1,moderate
SEG-0023,Ferozepur Road,arterial_highway,22,31.465272,74.270213,31.460552,74.267147,31.462912,74.26868,600.0,arterial,4,100,3881,4.49,3.73,poor,none,good,1,4,2,14,3.6,0.6864,0.4698,56.1,moderate
SEG-0024,Ferozepur Road,arterial_highway,23,31.460552,74.267147,31.455832,74.264081,31.458192,74.265614,600.0,arterial,4,85,6024,6.0,4.38,good,moderate,good,0,6,2,12,3.4,0.7437,0.4397,57.6,moderate
SEG-0025,Multan Road,arterial_highway,0,31.54,74.31,31.534984,74.307666,31.537492,74.308833,600.0,arterial,5,85,4848,4.12,3.37,poor,none,poor,0,3,1,4,3.18,0.5409,0.6977,68.2,moderate
SEG-0026,Multan Road,arterial_highway,1,31.534984,74.307666,31.529968,74.305333,31.532476,74.3065,600.0,arterial,4,80,5298,2.72,3.56,good,moderate,moderate,1,8,0,1,3.39,0.734,0.6539,72.3,moderate
SEG-0027,Multan Road,arterial_highway,2,31.529968,74.305333,31.524953,74.302999,31.527461,74.304166,600.0,arterial,6,80,2520,4.23,3.27,good,none,moderate,0,5,1,8,4.05,0.7326,0.5688,64.9,moderate
SEG-0028,Multan Road,arterial_highway,3,31.524953,74.302999,31.519937,74.300665,31.522445,74.301832,600.0,arterial,4,90,3288,3.04,4.22,good,moderate,moderate,0,4,0,3,2.99,0.7392,0.7603,72.3,moderate
SEG-0029,Multan Road,arterial_highway,4,31.519937,74.300665,31.514921,74.298332,31.517429,74.299499,600.0,arterial,5,85,4888,3.0,4.21,good,moderate,moderate,0,3,1,7,3.24,0.7394,0.6625,64.5,moderate
SEG-0030,Multan Road,arterial_highway,5,31.514921,74.298332,31.509905,74.295998,31.512413,74.297165,600.0,arterial,5,90,4285,3.36,3.99,good,moderate,moderate,0,7,1,8,3.11,0.7189,0.5386,65.0,moderate
SEG-0031,Multan Road,arterial_highway,6,31.509905,74.295998,31.504889,74.293664,31.507397,74.294831,600.0,arterial,4,85,5045,2.11,2.83,moderate,none,good,0,6,0,4,3.01,0.7198,0.6903,67.3,moderate
SEG-0032,Multan Road,arterial_highway,7,31.504889,74.293664,31.499874,74.291331,31.502382,74.292498,600.0,arterial,6,90,2537,4.76,4.12,good,none,good,1,7,1,9,3.69,0.8558,0.5101,60.5,moderate
SEG-0033,Multan Road,arterial_highway,8,31.499874,74.291331,31.494858,74.288997,31.497366,74.290164,600.0,arterial,6,95,3667,5.27,3.69,good,moderate,moderate,0,4,0,10,3.41,0.6643,0.6699,66.8,moderate
SEG-0034,Multan Road,arterial_highway,9,31.4925,74.2879,31.490473,74.285536,31.491486,74.286718,317.9,arterial,6,85,3202,2.43,3.96,moderate,none,moderate,0,5,0,2,3.72,0.7344,0.7203,65.1,moderate
SEG-0035,Multan Road,arterial_highway,10,31.490473,74.285536,31.486647,74.281074,31.48856,74.283305,600.0,arterial,4,95,3555,4.14,2.89,moderate,none,moderate,0,7,0,10,3.57,0.6355,0.5776,51.2,moderate
SEG-0036,Multan Road,arterial_highway,11,31.486647,74.281074,31.482821,74.276613,31.484734,74.278843,600.0,arterial,6,90,4196,2.51,3.38,good,moderate,moderate,1,3,0,0,3.26,0.7267,0.8147,78.4,safe
SEG-0037,Multan Road,arterial_highway,12,31.482821,74.276613,31.478995,74.272151,31.480908,74.274382,600.0,arterial,6,90,5107,4.03,3.4,moderate,none,poor,0,6,0,5,3.95,0.6194,0.6509,64.8,moderate
SEG-0038,Multan Road,arterial_highway,13,31.478995,74.272151,31.475169,74.267689,31.477082,74.26992,600.0,arterial,5,85,2632,2.63,3.48,moderate,moderate,moderate,1,5,2,4,3.67,0.6557,0.5496,63.1,moderate
SEG-0039,Multan Road,arterial_highway,14,31.475169,74.267689,31.471343,74.263228,31.473256,74.265459,600.0,arterial,4,90,3102,4.44,3.77,good,moderate,poor,0,2,1,5,3.16,0.6349,0.7163,63.9,moderate
SEG-0040,Multan Road,arterial_highway,15,31.471343,74.263228,31.467517,74.258766,31.46943,74.260997,600.0,arterial,6,80,3322,5.17,3.87,good,none,moderate,0,8,0,8,2.92,0.7524,0.5902,71.1,moderate
SEG-0041,Multan Road,arterial_highway,16,31.467517,74.258766,31.463691,74.254305,31.465604,74.256536,600.0,arterial,6,95,4775,4.08,3.74,poor,moderate,good,0,2,1,7,2.91,0.5898,0.7016,64.2,moderate
SEG-0042,Multan Road,arterial_highway,17,31.46,74.25,31.459835,74.24989,31.459918,74.249945,21.1,arterial,5,90,3693,3.0,3.53,moderate,none,good,0,8,0,9,3.52,0.7469,0.5611,64.9,moderate
SEG-0043,Multan Road,arterial_highway,18,31.459835,74.24989,31.455145,74.246763,31.45749,74.248327,600.0,arterial,4,85,3739,3.25,3.45,good,none,good,0,5,1,4,3.47,0.8122,0.6306,70.0,moderate
SEG-0044,Multan Road,arterial_highway,19,31.455145,74.246763,31.450455,74.243637,31.4528,74.2452,600.0,arterial,6,80,5231,2.74,3.18,moderate,moderate,good,1,6,1,9,3.72,0.6849,0.5384,65.3,moderate
SEG-0045,Multan Road,arterial_highway,20,31.450455,74.243637,31.445765,74.24051,31.44811,74.242073,600.0,arterial,6,85,4378,3.9,3.53,good,none,moderate,0,5,0,12,3.54,0.755,0.6146,65.9,moderate
SEG-0046,Multan Road,arterial_highway,21,31.445765,74.24051,31.441074,74.237383,31.443419,74.238946,600.0,arterial,6,80,3036,2.54,3.14,good,none,moderate,0,6,2,6,3.19,0.7561,0.5126,67.0,moderate
SEG-0047,Multan Road,arterial_highway,22,31.441074,74.237383,31.436384,74.234256,31.438729,74.23582,600.0,arterial,6,80,2523,1.72,3.09,moderate,none,poor,1,4,1,7,3.8,0.6734,0.6166,65.0,moderate
SEG-0048,Multan Road,arterial_highway,23,31.436384,74.234256,31.431694,74.231129,31.434039,74.232693,600.0,arterial,5,80,2583,2.46,3.51,moderate,severe,moderate,0,5,1,1,3.88,0.5557,0.6517,60.7,moderate
SEG-0049,Multan Road,arterial_highway,24,31.431694,74.231129,31.427004,74.228003,31.429349,74.229566,600.0,arterial,6,95,3064,5.11,2.92,moderate,moderate,moderate,0,4,0,10,4.11,0.5442,0.6489,57.8,moderate
SEG-0050,Multan Road,arterial_highway,25,31.427004,74.228003,31.422314,74.224876,31.424659,74.226439,600.0,arterial,6,80,3106,3.76,3.91,good,none,moderate,0,3,0,8,3.43,0.7814,0.7207,80.3,safe
SEG-0051,Multan Road,arterial_highway,26,31.422314,74.224876,31.417624,74.221749,31.419969,74.223312,600.0,arterial,4,95,4750,1.45,3.23,moderate,moderate,poor,0,6,1,5,3.53,0.5822,0.5885,53.3,moderate
SEG-0052,Multan Road,arterial_highway,27,31.417624,74.221749,31.412933,74.218622,31.415278,74.220186,600.0,arterial,6,95,3704,4.62,2.9,moderate,none,moderate,0,4,0,3,3.52,0.6271,0.7444,61.6,moderate
SEG-0053,Multan Road,arterial_highway,28,31.412933,74.218622,31.408243,74.215495,31.410588,74.217059,600.0,arterial,4,80,5272,3.07,3.69,good,moderate,moderate,0,5,1,12,3.7,0.7056,0.5348,61.9,moderate
SEG-0054,Multan Road,arterial_highway,29,31.408243,74.215495,31.403553,74.212369,31.405898,74.213932,600.0,arterial,6,85,4829,4.34,3.5,good,moderate,poor,0,5,0,3,2.96,0.6199,0.732,68.7,moderate
SEG-0055,Canal Bank Road,arterial_highway,0,31.555,74.355,31.549999,74.352622,31.5525,74.353811,600.0,arterial,4,85,3333,2.97,3.54,good,none,good,0,8,0,6,4.11,0.8231,0.5767,67.2,moderate
SEG-0056,Canal Bank Road,arterial_highway,1,31.549999,74.352622,31.544998,74.350244,31.547499,74.351433,600.0,arterial,4,80,4037,2.97,3.08,moderate,moderate,moderate,0,4,1,1,4.09,0.5943,0.6745,59.3,moderate
SEG-0057,Canal Bank Road,arterial_highway,2,31.544998,74.350244,31.539997,74.347867,31.542498,74.349055,600.0,arterial,4,80,4914,3.76,3.16,moderate,moderate,moderate,1,7,1,1,4.04,0.6145,0.5885,58.5,moderate
SEG-0058,Canal Bank Road,arterial_highway,3,31.539997,74.347867,31.534996,74.345489,31.537497,74.346678,600.0,arterial,4,95,3914,2.98,3.52,moderate,none,poor,0,7,0,9,3.36,0.6466,0.595,68.1,moderate
SEG-0059,Canal Bank Road,arterial_highway,4,31.534996,74.345489,31.529995,74.343111,31.532496,74.3443,600.0,arterial,6,90,4369,5.06,3.56,good,none,moderate,0,4,1,4,3.82,0.7351,0.6493,62.6,moderate
SEG-0060,Canal Bank Road,arterial_highway,5,31.5285,74.3424,31.524893,74.341065,31.526696,74.341732,420.6,arterial,5,80,4624,4.8,4.27,moderate,none,good,0,7,0,8,3.89,0.7594,0.5902,74.0,moderate
SEG-0061,Canal Bank Road,arterial_highway,6,31.524893,74.341065,31.519747,74.33916,31.52232,74.340112,600.0,arterial,4,95,3710,5.24,3.54,poor,none,moderate,0,5,1,4,3.67,0.5805,0.6246,62.8,moderate
SEG-0062,Canal Bank Road,arterial_highway,7,31.519747,74.33916,31.514601,74.337255,31.517174,74.338208,600.0,arterial,6,95,3530,5.2,3.3,good,moderate,good,0,6,1,10,2.87,0.6912,0.5528,65.9,moderate
SEG-0063,Canal Bank Road,arterial_highway,8,31.514601,74.337255,31.509455,74.335351,31.512028,74.336303,600.0,arterial,5,100,4671,1.6,3.74,good,severe,moderate,0,2,0,3,2.86,0.6613,0.8225,73.6,moderate
SEG-0064,Canal Bank Road,arterial_highway,9,31.509455,74.335351,31.50431,74.333446,31.506883,74.334398,600.0,arterial,4,80,2626,2.76,3.44,moderate,none,moderate,0,5,0,11,3.01,0.6958,0.6416,68.1,moderate
SEG-0065,Canal Bank Road,arterial_highway,10,31.50431,74.333446,31.499164,74.331541,31.501737,74.332494,600.0,arterial,5,90,2863,3.17,3.18,moderate,none,good,0,4,1,7,3.38,0.7218,0.6292,67.5,moderate
SEG-0066,Canal Bank Road,arterial_highway,11,31.495,74.33,31.49428,74.329137,31.49464,74.329568,114.5,arterial,6,85,4487,2.12,3.37,moderate,none,moderate,1,7,0,0,3.95,0.7334,0.6773,78.3,safe
SEG-0067,Canal Bank Road,arterial_highway,12,31.49428,74.329137,31.490509,74.324611,31.492395,74.326874,599.9,arterial,5,95,3080,4.43,4.26,good,moderate,good,0,3,0,3,3.81,0.7657,0.7649,77.2,safe
SEG-0068,Canal Bank Road,arterial_highway,13,31.490509,74.324611,31.486739,74.320086,31.488624,74.322349,599.9,arterial,4,90,4587,1.87,2.94,good,none,good,1,4,1,2,3.0,0.8362,0.6961,70.6,moderate
SEG-0069,Canal Bank Road,arterial_highway,14,31.486739,74.320086,31.482968,74.315561,31.484853,74.317824,600.0,arterial,5,95,5222,3.48,4.25,moderate,moderate,good,0,4,1,9,3.43,0.7079,0.6054,71.6,moderate
SEG-0070,Canal Bank Road,arterial_highway,15,31.482968,74.315561,31.479197,74.311036,31.481082,74.313299,600.0,arterial,6,85,4762,2.22,3.81,good,none,good,1,5,1,8,3.7,0.884,0.5793,76.2,safe
SEG-0071,Canal Bank Road,arterial_highway,16,31.479197,74.311036,31.475426,74.306511,31.477311,74.308773,600.0,arterial,4,90,5219,3.66,4.03,good,none,moderate,0,5,1,7,3.43,0.7908,0.5985,67.7,moderate
SEG-0072,Canal Bank Road,arterial_highway,17,31.475426,74.306511,31.471655,74.301986,31.47354,74.304248,600.0,arterial,4,95,2796,1.79,2.86,poor,severe,poor,0,6,1,11,3.37,0.4027,0.5267,40.9,risky
SEG-0073,Canal Bank Road,arterial_highway,18,31.471655,74.301986,31.467884,74.297461,31.469769,74.299723,600.0,arterial,5,95,3229,4.29,3.03,moderate,none,moderate,0,3,0,2,3.3,0.6414,0.7913,75.4,safe
SEG-0074,Canal Bank Road,arterial_highway,19,31.467884,74.297461,31.464113,74.292935,31.465998,74.295198,600.0,arterial,5,80,3026,4.93,3.76,poor,none,good,0,8,0,4,4.11,0.6501,0.5989,62.0,moderate
SEG-0075,Canal Bank Road,arterial_highway,20,31.464113,74.292935,31.460342,74.28841,31.462227,74.290673,600.0,arterial,4,85,2832,4.47,3.1,good,moderate,moderate,0,2,1,1,2.99,0.6424,0.7659,70.4,moderate
SEG-0076,Canal Bank Road,arterial_highway,21,31.460342,74.28841,31.456571,74.283885,31.458456,74.286148,600.0,arterial,5,80,3186,3.97,2.84,poor,moderate,moderate,1,4,0,0,3.41,0.5156,0.781,67.3,moderate
SEG-0077,Canal Bank Road,arterial_highway,22,31.456571,74.283885,31.4528,74.27936,31.454686,74.281623,600.1,arterial,6,95,4990,2.77,3.69,moderate,none,moderate,0,5,2,0,3.45,0.7112,0.6007,60.6,moderate
SEG-0078,Canal Bank Road,arterial_highway,23,31.4528,74.27936,31.449029,74.274835,31.450915,74.277098,600.1,arterial,4,80,4262,3.28,4.16,poor,none,moderate,0,6,0,7,3.21,0.656,0.6509,68.9,moderate
SEG-0079,Canal Bank Road,arterial_highway,24,31.449029,74.274835,31.445258,74.27031,31.447144,74.272572,600.1,arterial,6,90,3035,3.34,3.44,good,none,moderate,0,3,0,5,3.36,0.7599,0.7561,79.3,safe
SEG-0080,Ring Road (Babu Sabu - Shahdara section),arterial_highway,0,31.555,74.245,31.558827,74.249465,31.556913,74.247232,600.0,arterial,4,90,5531,3.83,3.33,good,none,good,0,4,0,15,3.82,0.7938,0.6021,72.2,moderate
SEG-0081,Ring Road (Babu Sabu - Shahdara section),arterial_highway,1,31.558827,74.249465,31.562654,74.25393,31.56074,74.251697,600.0,arterial,6,80,4160,5.01,3.72,good,moderate,moderate,0,4,1,5,3.71,0.6711,0.6415,67.8,moderate
SEG-0082,Ring Road (Babu Sabu - Shahdara section),arterial_highway,2,31.562654,74.25393,31.566481,74.258394,31.564567,74.256162,600.0,arterial,6,100,5752,4.56,3.27,moderate,none,moderate,0,7,0,14,4.16,0.6514,0.5155,55.3,moderate
SEG-0083,Ring Road (Babu Sabu - Shahdara section),arterial_highway,3,31.566481,74.258394,31.570308,74.262859,31.568394,74.260627,600.0,arterial,4,85,3727,3.4,3.37,good,none,moderate,0,4,2,15,3.21,0.7544,0.4704,57.4,moderate
SEG-0084,Ring Road (Babu Sabu - Shahdara section),arterial_highway,4,31.570308,74.262859,31.574135,74.267324,31.572221,74.265092,600.0,arterial,6,85,3455,4.14,3.34,moderate,none,good,1,7,2,6,3.95,0.7436,0.4607,59.5,moderate
SEG-0085,Ring Road (Babu Sabu - Shahdara section),arterial_highway,5,31.574135,74.267324,31.577962,74.271789,31.576048,74.269556,600.0,arterial,5,85,5332,4.27,3.76,moderate,moderate,poor,0,7,1,6,4.37,0.5624,0.5231,56.8,moderate
SEG-0086,Ring Road (Babu Sabu - Shahdara section),arterial_highway,6,31.577962,74.271789,31.581789,74.276254,31.579875,74.274021,600.0,arterial,5,95,3824,6.11,4.25,good,none,poor,0,8,1,13,4.13,0.7086,0.4233,57.5,moderate
SEG-0087,Ring Road (Babu Sabu - Shahdara section),arterial_highway,7,31.585,74.28,31.585523,74.280814,31.585261,74.280407,96.5,arterial,5,95,5017,2.62,4.39,poor,none,good,0,6,0,3,3.51,0.7327,0.6864,72.7,moderate
SEG-0088,Ring Road (Babu Sabu - Shahdara section),arterial_highway,8,31.585523,74.280814,31.588774,74.28587,31.587148,74.283342,600.1,arterial,6,90,3533,5.66,4.48,poor,moderate,moderate,0,8,1,13,3.19,0.5564,0.4515,45.1,risky
SEG-0089,Ring Road (Babu Sabu - Shahdara section),arterial_highway,9,31.588774,74.28587,31.592025,74.290927,31.590399,74.288399,600.1,arterial,6,95,4006,4.86,3.89,moderate,moderate,moderate,1,5,1,12,3.94,0.6395,0.5276,61.4,moderate
SEG-0090,Ring Road (Babu Sabu - Shahdara section),arterial_highway,10,31.592025,74.290927,31.595276,74.295984,31.59365,74.293456,600.1,arterial,6,95,6257,4.31,4.23,good,none,good,0,9,1,8,3.7,0.8411,0.4626,71.4,moderate
SEG-0091,Ring Road (Babu Sabu - Shahdara section),arterial_highway,11,31.595276,74.295984,31.598526,74.301041,31.596901,74.298513,600.0,arterial,5,90,3468,4.86,4.29,moderate,none,poor,0,4,2,13,3.89,0.6595,0.4722,52.1,moderate
SEG-0092,Ring Road (Babu Sabu - Shahdara section),arterial_highway,12,31.598526,74.301041,31.601777,74.306098,31.600152,74.30357,600.0,arterial,6,85,5112,4.55,4.29,good,none,good,0,9,1,13,4.17,0.8403,0.393,61.5,moderate
SEG-0093,Ring Road (Babu Sabu - Shahdara section),arterial_highway,13,31.601777,74.306098,31.605028,74.311155,31.603403,74.308626,600.0,arterial,5,90,5127,6.26,3.23,good,none,moderate,0,9,1,12,3.97,0.692,0.4101,60.4,moderate
SEG-0094,Ring Road (Babu Sabu - Shahdara section),arterial_highway,14,31.605028,74.311155,31.608279,74.316212,31.606654,74.313683,600.0,arterial,6,100,5105,3.67,3.59,moderate,none,moderate,1,4,2,14,3.49,0.7181,0.4731,61.4,moderate
SEG-0095,Ring Road (Babu Sabu - Shahdara section),arterial_highway,15,31.608279,74.316212,31.61153,74.321269,31.609904,74.31874,600.0,arterial,6,90,5672,4.95,4.09,poor,moderate,poor,0,8,2,12,3.98,0.4953,0.3639,37.3,risky
SEG-0096,Ring Road (Babu Sabu - Shahdara section),arterial_highway,16,31.61153,74.321269,31.614781,74.326326,31.613155,74.323797,600.0,arterial,5,85,6297,4.02,3.64,moderate,none,moderate,1,5,2,9,3.79,0.7146,0.4905,59.3,moderate
SEG-0097,Ring Road (Babu Sabu - Shahdara section),arterial_highway,17,31.614781,74.326326,31.618032,74.331382,31.616406,74.328854,600.0,arterial,6,90,3784,5.28,3.89,good,moderate,moderate,0,8,2,5,3.65,0.6766,0.4516,51.3,moderate
SEG-0098,Ring Road (Babu Sabu - Shahdara section),arterial_highway,18,31.618032,74.331382,31.621282,74.336439,31.619657,74.333911,600.0,arterial,6,85,6194,3.28,3.77,moderate,moderate,moderate,0,9,1,11,3.83,0.6316,0.4254,56.0,moderate
SEG-0099,Ring Road (Babu Sabu - Shahdara section),arterial_highway,19,31.621282,74.336439,31.624533,74.341496,31.622908,74.338968,599.9,arterial,4,95,5701,4.09,4.25,good,none,moderate,1,5,1,14,3.81,0.8264,0.5093,73.0,moderate
SEG-0100,Ring Road (Babu Sabu - Shahdara section),arterial_highway,20,31.624533,74.341496,31.627784,74.346553,31.626159,74.344025,599.9,arterial,4,100,3572,5.73,3.53,good,none,good,0,8,2,14,3.63,0.7707,0.3522,60.8,moderate
SEG-0101,Ring Road (Harbanspura - Bedian section),arterial_highway,0,31.575,74.37,31.571082,74.374354,31.573041,74.372177,599.9,arterial,4,95,4763,3.29,3.52,poor,none,moderate,0,3,0,11,3.85,0.6158,0.6748,68.6,moderate
SEG-0102,Ring Road (Harbanspura - Bedian section),arterial_highway,1,31.571082,74.374354,31.567164,74.378707,31.569123,74.37653,599.9,arterial,6,100,4640,3.59,2.95,poor,none,good,0,7,0,3,3.26,0.6246,0.6647,69.3,moderate
SEG-0103,Ring Road (Harbanspura - Bedian section),arterial_highway,2,31.567164,74.378707,31.563245,74.383061,31.565204,74.380884,600.0,arterial,6,80,4360,4.35,3.87,poor,moderate,moderate,1,3,1,9,3.26,0.5728,0.6397,55.5,moderate
SEG-0104,Ring Road (Harbanspura - Bedian section),arterial_highway,3,31.563245,74.383061,31.559327,74.387414,31.561286,74.385237,600.0,arterial,6,90,3985,2.14,4.4,poor,none,moderate,0,6,2,4,2.97,0.6924,0.5415,64.7,moderate
SEG-0105,Ring Road (Harbanspura - Bedian section),arterial_highway,4,31.559327,74.387414,31.555409,74.391768,31.557368,74.389591,600.0,arterial,6,95,3214,4.95,3.46,good,moderate,good,0,5,1,11,3.84,0.7059,0.5417,66.9,moderate
SEG-0106,Ring Road (Harbanspura - Bedian section),arterial_highway,5,31.555409,74.391768,31.551491,74.396121,31.55345,74.393945,600.0,arterial,4,80,3412,2.52,3.14,good,moderate,poor,1,8,1,13,3.65,0.6615,0.4377,54.4,moderate
SEG-0107,Ring Road (Harbanspura - Bedian section),arterial_highway,6,31.551491,74.396121,31.547573,74.400475,31.549532,74.398298,600.0,arterial,6,85,3187,2.81,4.07,moderate,none,good,0,8,1,12,3.45,0.7842,0.4548,66.6,moderate
SEG-0108,Ring Road (Harbanspura - Bedian section),arterial_highway,7,31.547573,74.400475,31.543654,74.404829,31.545613,74.402652,600.0,arterial,4,90,5799,3.78,4.32,moderate,moderate,moderate,1,4,0,5,3.33,0.6866,0.7279,70.0,moderate
SEG-0109,Ring Road (Harbanspura - Bedian section),arterial_highway,8,31.543654,74.404829,31.539736,74.409182,31.541695,74.407005,600.0,arterial,6,95,3871,3.58,4.01,moderate,none,moderate,0,4,2,13,3.04,0.716,0.4977,58.2,moderate
SEG-0110,Ring Road (Harbanspura - Bedian section),arterial_highway,9,31.539736,74.409182,31.535818,74.413536,31.537777,74.411359,600.0,arterial,5,80,3015,5.0,3.96,good,none,moderate,0,5,1,8,3.73,0.7613,0.5784,64.1,moderate
SEG-0111,Ring Road (Harbanspura - Bedian section),arterial_highway,10,31.535818,74.413536,31.5319,74.417889,31.533859,74.415712,600.1,arterial,6,85,3757,4.51,4.36,moderate,moderate,moderate,1,8,0,3,3.62,0.6754,0.6247,66.7,moderate
SEG-0112,Ring Road (Harbanspura - Bedian section),arterial_highway,11,31.53,74.42,31.527547,74.421533,31.528773,74.420767,309.1,arterial,5,85,3221,4.89,3.99,moderate,moderate,moderate,1,4,1,13,4.0,0.6452,0.5439,58.4,moderate
SEG-0113,Ring Road (Harbanspura - Bedian section),arterial_highway,12,31.527547,74.421533,31.522785,74.42451,31.525166,74.423021,600.0,arterial,5,95,5368,5.66,4.42,good,moderate,moderate,0,8,1,11,3.61,0.7026,0.4611,60.1,moderate
SEG-0114,Ring Road (Harbanspura - Bedian section),arterial_highway,13,31.522785,74.42451,31.518023,74.427486,31.520404,74.425998,600.0,arterial,6,80,5466,2.35,4.12,poor,moderate,moderate,1,5,1,7,3.48,0.6259,0.597,63.0,moderate
